timestamp,ac_output_kw,system_capacity_kw,location,data_year
2023-01-01 00:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 01:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 02:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 03:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 04:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 05:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 06:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 07:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 08:00:00,8.27,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 09:00:00,22.55,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 10:00:00,27.22,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 11:00:00,35.53,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 12:00:00,36.27,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 13:00:00,26.46,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 14:00:00,24.8,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 15:00:00,20.25,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 16:00:00,10.6,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 17:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 18:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 19:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 20:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 21:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 22:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-01 23:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 00:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 01:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 02:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 03:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 04:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 05:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 06:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 07:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 08:00:00,10.59,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 09:00:00,22.31,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 10:00:00,29.74,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 11:00:00,32.31,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 12:00:00,35.68,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 13:00:00,26.32,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 14:00:00,28.48,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 15:00:00,19.68,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 16:00:00,7.44,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 17:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 18:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 19:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 20:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 21:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 22:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-02 23:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 00:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 01:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 02:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 03:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 04:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 05:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 06:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 07:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 08:00:00,5.25,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 09:00:00,22.57,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 10:00:00,20.65,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 11:00:00,20.53,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 12:00:00,37.78,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 13:00:00,21.66,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 14:00:00,25.96,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 15:00:00,20.09,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 16:00:00,6.01,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 17:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 18:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 19:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 20:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 21:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 22:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-03 23:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 00:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 01:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 02:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 03:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 04:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 05:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 06:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 07:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 08:00:00,11.02,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 09:00:00,15.16,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 10:00:00,20.71,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 11:00:00,34.67,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 12:00:00,35.42,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 13:00:00,24.71,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 14:00:00,27.7,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 15:00:00,14.55,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 16:00:00,10.59,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 17:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 18:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 19:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 20:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 21:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 22:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-04 23:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 00:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 01:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 02:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 03:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 04:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 05:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 06:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 07:00:00,0.0,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 08:00:00,11.26,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 09:00:00,16.76,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 10:00:00,14.9,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 11:00:00,32.76,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 12:00:00,36.73,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 13:00:00,22.7,100,"Mission Viejo, CA (synthetic 2023)",2023
2023-01-05 14:00:00,22.15,100,"Mission Viejo, CA (synthetic 2023)",2023
